explanations,datasets,attributed_fns,methods,reversed,Value
attention,any,logit,baseline,original,"[74.0476     1.6740178  2.5711758  2.0345097  2.5662568  2.2078805
  2.0508308  1.9052954  2.1864305  3.4165473  2.5545592  5.6383376
  8.430997   9.17325   14.171558   9.3707485]"
attention,any,logit,baseline,original,[99.751755  7.225155  8.776691 15.940859 12.305541]
attention,any,logit,baseline,original,"[93.25471    3.988      3.5995839  4.15924    6.817492   7.321938
 12.91906   11.939979 ]"
attention,any,logit,baseline,original,"[75.17847    2.185643   1.876707   4.7748084  2.623661   1.8964853
  3.569729   4.4116745  5.176233   4.986592   3.3548489  4.2807817
  7.946295  10.87739   10.860683 ]"
attention,any,logit,baseline,original,[93.506874 11.870182 10.657011 16.020159 11.945772]
attention,any,logit,baseline,original,[104.28189   13.462751  15.049451  11.205905]
attention,any,logit,baseline,original,"[81.79378    3.762049   3.602922   3.1204154  3.894852   5.1191006
  7.8116226 10.429167  14.840722   9.625374 ]"
attention,any,logit,baseline,original,"[77.56319    2.5912645  3.1389594  2.3145356  2.8732216  2.1648407
  2.3019     2.017577   2.6083274  5.069499   8.594388   8.707279
 14.573115   9.4819   ]"
attention,any,logit,baseline,original,"[73.370224   2.0039194  1.7216718  1.669641   1.0693027  3.052696
  5.0375614  4.2223473  5.6511703  5.904863   5.6264653  5.647892
 10.56819    8.998718   9.455339 ]"
attention,any,logit,baseline,original,"[80.566505   2.412008   1.4430335  2.6575556  2.842374   5.9798183
  5.4760003  4.214627   5.0563636  7.2261834 15.392493  10.73304  ]"
attention,any,logit,baseline,original,"[73.57231    1.6904289  1.6004634  2.6820245  1.3719466  1.5623056
  2.8126173  1.6562151  1.5085877  3.103813   2.5030053  5.0214233
  6.621757   5.0588303  5.493579   7.2699494 10.85529    9.615451 ]"
attention,any,logit,baseline,original,"[88.83984    7.5181847  6.8432817  6.9314976 12.212024  10.644291
 11.010871 ]"
attention,any,logit,baseline,original,"[68.63533    2.0389373  1.438976   3.619441   2.1010003  1.9834995
  2.033033   2.2428715  1.5660719  3.2453911  2.9993458  3.6693585
  5.071657   5.82614    5.588675   5.833053   6.1610913  9.55602
 10.390102 ]"
attention,any,logit,baseline,original,[93.22074   10.682056   7.8371334  7.808539  12.08593   12.365604 ]
attention,any,logit,baseline,original,[93.97919    5.63708    6.5849366 10.978973  13.451703  13.368116 ]
attention,any,logit,baseline,original,"[86.08428    8.738656   7.6031227  7.3733153 12.940464  10.354861
 10.905305 ]"
attention,any,logit,baseline,original,[92.92024   7.997423  5.897009 10.030438 16.02713  11.127758]
attention,any,logit,baseline,original,"[87.262924   6.6852264  6.7774115  6.359446   5.9907084  8.082955
 10.72734   12.113995 ]"
attention,any,logit,baseline,original,[94.21377    5.053606   5.7729635 10.652275  14.115351  14.19204  ]
attention,any,logit,baseline,original,"[88.57321   3.069106  4.366673  5.573632  4.758114  8.339984 17.527145
 11.792135]"
attention,any,logit,baseline,original,"[81.32862    4.4595065  4.303008   6.822912   7.533505   6.9610724
 11.596448  10.29307   10.701863 ]"
attention,any,logit,baseline,original,[89.99163    4.6853733  8.565149  11.544105  17.28326   11.930491 ]
